Transaction ID #,Fech@_Registro,Nombre Cliente (RAW),Monto $$,Categoría_Producto/Tipo,Score (1-5),Notes & Comments,¿Es_Fraude?
1.0,2020-01-01 00:00:00,Cliente_0,380.79,Hogar,5.0,q a h f t r x c k a,0.0
2.0,2020-01-01 01:00:00,Cliente_1,$951.21,Hogar,2.0,f n a f q o f p v a,0.0
3.0,2020-01-01 02:00:00,Cliente_2,734.67,Juguetes,dos,u s i e y i c c w p,0.0
4.0,2020-01-01 03:00:00,Cliente_3,602.67,Hogar,4.0,u s n z j o v q w p,1.0
5.0,2020-01-01 04:00:00,Cliente_4,164.46,Libros,3.0,s b f h c g c h q j,0.0
6.0,2020-01-01 05:00:00,Cliente_5,164.43,,1.0,j f g y q p e s e j,0.0
7.0,2020-01-01 06:00:00,Cliente_6,67.5,Libros,3.0,z q o r v u f a i g,
,2020-01-01 07:00:00,Cliente_7,867.51,Hogar,2.0,f y w i r k x l g g,0.0
9.0,2020-01-01 08:00:00,Cliente_8,605.1,Libros,5.0,o g p x k f z n c b,0.0
10.0,2020-01-01 09:00:00,Cliente_9,710.99,Hogar,1.0,c q u k b j z n z w,0.0
11.0,2020-01-01 10:00:00,Cliente_10,30.38,Hogar,uno,a s r n g q c l l y,0.0
12.0,,Cliente_11,$970.21,Ropa,5.0,w g n e x w h q p d,0.0
13.0,2020-01-01 12:00:00,Cliente_12,$834.12,Libros,1.0,t o u n a i a y w v,0.0
14.0,2020-01-01 13:00:00,Cliente_13,220.22,Libros,5.0,h b w y c m b t t d,0.0
,2020-01-01 14:00:00,Cliente_14,$190.01,Libros,1.0,m o g w l f o s f i,0.0
16.0,2020-01-01 15:00:00,Cliente_15,191.57,Electrónica,3.0,z q l n d f i p f f,0.0
17.0,2020-01-01 16:00:00,Cliente_16,311.2,Hogar,,b q f x w b g r f d,0.0
18.0,2020-01-01 17:00:00,,$529.51,Libros,4.0,y o m u u e c l l m,0.0
19.0,2020-01-01 18:00:00,Cliente_18,437.63,Electrónica,5.0,s r z c k i w g e l,0.0
20.0,2020-01-01 19:00:00,Cliente_19,298.32,Ropa,1.0,k h g y l w o b z v,0.0
21.0,2020-01-01 20:00:00,Cliente_20,615.73,Libros,5.0,z y w e m f k b j z,0.0
22.0,2020-01-01 21:00:00,Cliente_21,148.1,Libros,4.0,g u l k y z o s e h,0.0
23.0,2020-01-01 22:00:00,Cliente_22,299.22,Electrónica,1.0,z p o t b p n w e y,0.0
24.0,2020-01-01 23:00:00,Cliente_23,$372.7,Hogar,1.0,c e p r g d x g p q,0.0
25.0,2020-01-02 00:00:00,Cliente_24,$461.51,Ropa,cuatro,k p n y f s g k r h,0.0
26.0,2020-01-02 01:00:00,Cliente_25,787.32,Libros,cuatro,i t b l z z b f g y,0.0
27.0,2020-01-02 02:00:00,Cliente_26,$207.68,Hogar,4.0,w w j e v s p z r a,0.0
28.0,2020-01-02 03:00:00,Cliente_27,519.09,,5.0,v h r y d d c o h p,0.0
,2020-01-02 04:00:00,Cliente_28,596.49,Juguetes,cuatro,s f q g m x v c l h,0.0
30.0,2020-01-02 05:00:00,Cliente_29,55.99,Juguetes,5.0,a u q g t o l a b w,0.0
31.0,2020-01-02 06:00:00,Cliente_30,611.47 USD,Ropa,3.0,x o v p d d i x u w,0.0
32.0,2020-01-02 07:00:00,Cliente_31,178.82,Electrónica,uno,x f g c u w k q e y,0.0
33.0,2020-01-02 08:00:00,Cliente_32,74.4,Ropa,1.0,w z v w a t i y u w,0.0
34.0,,Cliente_33,$949.4,Ropa,dos,v g u c w w f v l h,0.0
35.0,2020-01-02 10:00:00,Cliente_34,$965.98,Electrónica,3.0,u f a f i w z h q k,0.0
36.0,2020-01-02 11:00:00,Cliente_35,810.31,Electrónica,cuatro,z n y c z e z g c l,0.0
37.0,2020-01-02 12:00:00,Cliente_36,311.57,Hogar,4.0,s i p n k o g s a y,0.0
38.0,2020-01-02 13:00:00,Cliente_37,106.7,Hogar,3.0,n s t r j b r i i w,0.0
39.0,2020-01-02 14:00:00,Cliente_38,687.39,Electrónica,4.0,s h i k k h d k y r,0.0
,2020-01-02 15:00:00,Cliente_39,445.75,Juguetes,dos,x q h o a h l p r m,0.0
41.0,2020-01-02 16:00:00,Cliente_40,,Juguetes,5.0,l f m x u e c n q i,0.0
42.0,2020-01-02 17:00:00,Cliente_41,500.23,Ropa,uno,v t r f f a g m w b,0.0
43.0,2020-01-02 18:00:00,Cliente_42,44.04,Libros,tres,k q f s m g r a t u,0.0
44.0,,,$910.23,Ropa,1.0,,0.0
45.0,2020-01-02 20:00:00,Cliente_44,266.19 USD,Ropa,5.0,,0.0
